224	2277
224	2343
386	2361
627	2370
224	2444
224	2469
224	2480
224	2488
224	2490
224	2531
224	2552
224	2554
224	2556
430	2556
224	2559
224	2562
430	2562
224	2567
224	2570
224	2571
224	2629
418	2632
224	2633
224	2648
224	2792
734	2834
1032	2842
359	2856
224	2861
224	2893
224	2936
224	2937
224	2938
224	3011
418	3057
224	3119
224	3201
418	3258
224	3281
224	3298
224	3299
224	3302
224	3306
418	3341
978	3417
595	3425
224	3430
224	3436
204	3453
224	3530
1032	3620
430	3675
204	3737
418	3748
224	3768
1032	3776
1032	3778
978	3779
224	3781
224	3784
224	3789
224	3920
430	3921
224	3941
224	3988
224	4079
734	4103
224	4109
1098	4113
224	4129
359	4180
204	4183
204	4199
224	4250
978	4267
978	4285
595	4326
978	4335
595	4342
224	4493
224	4494
224	4495
224	4541
1032	4541
978	4610
978	4613
978	4668
978	4670
627	4671
595	4680
627	4681
978	4681
978	4691
224	4735
627	4787
224	4795
224	4807
224	4809
978	4949
224	4978
595	5155
359	5159
224	5170
224	5254
224	5381
224	5471
224	5550
1032	5660
224	5785
430	5833
224	5917
224	5918
224	5920
224	5926
224	6064
224	6065
224	6070
224	6180
224	6241
734	6298
386	6350
386	6361
1108	6407
1108	6408
224	6544
418	6680
1016	6687
224	6698
734	6724
224	6732
224	6742
224	6743
224	6776
430	6783
224	6784
430	6784
430	6785
430	6790
224	6833
224	6884
224	6939
978	7052
1032	7056
224	7069
430	7076
978	7100
224	7144
224	7342
224	7343
224	7345
224	7346
224	7357
627	7713
978	7713
978	7899
224	7934
224	8069
1032	8108
1032	8110
1032	8111
1032	8122
224	8367
224	8543
224	8668
627	8690
627	8692
359	8743
224	8831
430	8995
224	9253
224	9255
430	9255
224	9296
224	9321
224	9338
224	9469
224	9505
978	9530
224	9591
224	9825
224	9865
224	9969
224	9980
224	9990
224	10111
224	10115
978	10585
224	10620
224	10662
978	10675
224	10742
224	10753
224	10761
224	10794
224	10847
734	10857
224	11243
430	11339
224	11733
224	11871
1035	11892
224	11913
1032	11917
224	11933
224	12009
418	12214
224	12220
224	12298
224	12817
224	13004
224	13086
224	13156
224	13168
224	13178
224	13416
224	13427
224	13529
224	13532
224	13900
418	14315
224	14402
430	14712
1108	15085
224	15122
224	15125
224	15164
1032	15301
978	15302
224	15584
224	15586
224	15601
224	15637
224	15771
224	15991
224	16141
224	17044
224	17157
224	17166
430	17166
224	17505
224	17890
224	18224
224	18295
